Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/health/live,325,0,60,130.28421856610714,4.3941449985140935,8110.702289999608,126.0,0.5185573481530802,0.0,60,110,140,170,290,390,460,540,8100,8100,8100
GET,GET /v1/health/ready,333,0,210.0,540.6219755285427,17.70330900035333,53649.895330003346,176.0,0.5313218367230021,0.0,210,420,530,630,970,1300,1800,2100,54000,54000,54000
GET,GET /v1/workspace/bootstrap,50,0,3500.0,3175.3753864202736,1169.6900349998032,4295.670260002225,768552.24,0.07977805356201234,0.0,3500,4000,4200,4200,4300,4300,4300,4300,4300,4300,4300
GET,GET /v1/workspace/orders,1257,0,540.0,766.4827497135653,130.24742900233832,52709.55901799971,1236778.4200477328,2.0056202665489904,0.0,540,720,870,1000,1300,1800,2200,2600,45000,53000,53000
POST,POST /v1/workspace/auth/login,50,0,1700.0,1342.7240665799036,109.39059899828862,2415.3689150007267,1197.0,0.07977805356201234,0.0,1700,2000,2000,2100,2300,2400,2400,2400,2400,2400,2400
POST,POST /v1/workspace/orders,921,0,1800.0,9796.073327900043,96.32822500134353,147688.15949599957,2970.0,1.4695117466122674,0.0,1800,3700,10000,18000,27000,31000,76000,136000,148000,148000,148000
POST,POST /v1/workspace/orders [lifecycle],613,0,1800.0,10189.07941925941,88.05363400097121,151669.27391499848,2970.0,0.9780789366702713,0.0,1800,4100,11000,18000,27000,37000,91000,140000,152000,152000,152000
POST,POST /v1/workspace/orders/{order_id}/cancel,910,0,490.0,6962.576256639559,77.1557269981713,151480.99856599947,3745.0,1.4519605748286246,0.0,490,1200,2400,8900,23000,29000,53000,91000,151000,151000,151000
POST,POST /v1/workspace/orders/{order_id}/entered,612,1,400.0,1483.3619458839023,71.08121599958395,128933.61616300172,3717.9150326797385,0.9764833755990311,0.0015955610712402469,400,700,1000,1300,2600,4500,9200,20000,129000,129000,129000
POST,POST /v1/workspace/orders/{order_id}/pickup/approve,608,0,160.0,380.07066726808455,48.210364002443384,49113.17642699942,5601.0,0.97010113131407,0.0,160,260,370,450,750,1000,1400,1700,49000,49000,49000
POST,POST /v1/workspace/orders/{order_id}/pickup/signature,608,0,150.0,349.12349918742717,43.22478599715396,41167.771616997925,5534.0,0.97010113131407,0.0,150,240,340,420,680,930,1400,1700,41000,41000,41000
POST,POST /v1/workspace/orders/{order_id}/steps/{step_key},2442,1,120.0,302.1635459082705,35.80744500141009,46743.4825440032,3807.026208026208,3.896360135968683,0.0015955610712402469,120,210,310,390,640,990,1400,1700,13000,47000,47000
,Aggregated,8729,2,330.0,2876.025642532113,4.3941449985140935,151669.27391499848,185533.69526864475,13.927652590856114,0.0031911221424804938,330,620,920,1200,3100,20000,29000,45000,143000,152000,152000
